"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","parameter","univariate_scenario"
"350","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_1664_f_cost.empiricuti.U","high"
"351","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_f_cost.empiricuti.current","high"
"352","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_1664_f_cost.empiricuti.current","high"
"353","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_f_cost.empiricuti.ifast","high"
"354","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_1664_f_cost.empiricuti.ifast","high"
"355","current",2945690312.02565,120328.714426708,0,0,0,"complicated_IV_1664_f_cost.2ndline.U","high"
"356","iFAST",2945085493.03189,120142.733907369,-604818.993757248,185.980519339428,4324429.3805458,"complicated_IV_1664_f_cost.2ndline.U","high"
"357","current",2943708975.61439,119976.97824192,0,0,0,"uncomplicated_65100_f_r.prev","high"
"358","iFAST",2941754238.77076,119590.891296673,-1954736.8436265,386.086945246701,9676475.74856053,"uncomplicated_65100_f_r.prev","high"
"359","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_f_sensitivity.i","high"
"360","iFAST",2944857342.41978,120109.850581494,-823708.686243057,218.863845213957,5200985.59052219,"uncomplicated_65100_f_sensitivity.i","high"
"361","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_f_specificity.i","high"
"362","iFAST",2944997223.30325,120142.733907369,-683827.802770138,185.980519339355,4403438.18955724,"uncomplicated_65100_f_specificity.i","high"
"363","current",2945481183.74485,120298.506736388,0,0,0,"uncomplicated_65100_f_sensitivity.c","high"
"364","iFAST",2945074912.96261,120142.733907369,-406270.782240868,155.772829019363,3521727.36262812,"uncomplicated_65100_f_sensitivity.c","high"
"365","current",2945610165.55971,120328.714426708,0,0,0,"uncomplicated_65100_f_specificity.c","high"
"366","iFAST",2945074912.96261,120142.733907369,-535252.597092628,185.980519339457,4254862.98388176,"uncomplicated_65100_f_specificity.c","high"
"367","current",2945968692.52109,120328.714426708,0,0,0,"uncomplicated_65100_f_cost.empiricuti.U","high"
"368","iFAST",2945356922.12057,120142.733907369,-611770.400512218,185.980519339428,4331380.78730077,"uncomplicated_65100_f_cost.empiricuti.U","high"
"369","current",2945720998.44276,120328.714426708,0,0,0,"uncomplicated_65100_f_cost.empiricuti.current","high"
"370","iFAST",2945118620.29516,120142.733907369,-602378.147593498,185.980519339428,4321988.53438205,"uncomplicated_65100_f_cost.empiricuti.current","high"
"371","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_f_cost.empiricuti.ifast","high"
"372","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_65100_f_cost.empiricuti.ifast","high"
"373","current",2945730040.02103,120328.714426708,0,0,0,"uncomplicated_65100_f_cost.2ndline.U","high"
"374","iFAST",2945128512.9013,120142.733907369,-601527.11973381,185.980519339428,4321137.50652236,"uncomplicated_65100_f_cost.2ndline.U","high"
"375","current",2945643713.39317,120324.275873697,0,0,0,"complicated_IV_65100_f_r.prev","high"
"376","iFAST",2945014587.84862,120135.778065766,-629125.544548988,188.497807930777,4399081.70316452,"complicated_IV_65100_f_r.prev","high"
"377","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_f_sensitivity.i","high"
"378","iFAST",2945007999.29368,120135.359961114,-673051.812346458,193.354465594268,4540141.12423182,"complicated_IV_65100_f_sensitivity.i","high"
"379","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_f_specificity.i","high"
"380","iFAST",2945102432.12163,120142.733907369,-578618.98439455,185.980519339428,4298229.3711831,"complicated_IV_65100_f_specificity.i","high"
"381","current",2945619586.21688,120321.940940857,0,0,0,"complicated_IV_65100_f_sensitivity.c","high"
"382","iFAST",2945074912.96261,120142.733907369,-544673.254267693,179.207033487604,4128813.92401978,"complicated_IV_65100_f_sensitivity.c","high"
"383","current",2945706158.2747,120328.714426708,0,0,0,"complicated_IV_65100_f_specificity.c","high"
